	ID	Fecha	Tweet
92	902360665494622209	2017	"b""I'm proud to announced that I've written a book about how @realDonaldTrump disrupted democracy. Pre-order\xe2\x80\xa6 https://t.co/7LR2YEHnHl"""
93	902278999203872770	2017	b'.@realDonaldTrump a president has to roll up his sleeves and stand with his people during a time of need, not crawl\xe2\x80\xa6 https://t.co/4213cHzTsK'
94	902221835202420737	2017	"b"".@realDonaldTrump how many times do we have to tell you? You can keep tweeting, but we won't pay the #FuckingWall. https://t.co/pfOwLSBocB"""
95	902183586761199616	2017	"b"".@realDonaldTrump in a time of dire need, you'll keep on the hate against Mexico? A wall won't help against natural disasters like this."""
96	902181986718154752	2017	"b"".@realDonaldTrump back in 2005, Mexico's army helped the US during Katrina. Will you let Mexicans help this time? https://t.co/I3hsNmBNpf"""
97	901267650671779840	2017	b'T\xc3\xb3malo, this is weather. Climate revenge Donald.What is worst your denile about Paris Agreement or supporting a out\xe2\x80\xa6 https://t.co/w1BlEEupGE'
98	901216346549219328	2017	b'\xc2\xa1Aguas, M\xc3\xa9xico! Lopitos, Evo, Maduro y Trump son la misma gata pero revolcada: enga\xc3\xb1abobos, que una vez en el poder, no hay quien los saque.'
99	901215957686812675	2017	"b'.@evoespueblo, ese ""l\xc3\xadder"" @NicolasMaduro est\xc3\xa1 alejado de la realidad \xc2\xbfQu\xc3\xa9 clase de ""revolucionario"" deja a su pueblo con hambre y miedo?'"
100	901157148121600000	2017	b'tener un pueblo viviendo en hambre y miedo con tal de perpetuarse en el poder, eso si es un, un crimen de LESA HUMA\xe2\x80\xa6 https://t.co/Nl9kCgctsa'
101	901156187034574852	2017	b'\xc2\xbfY quien va a hacer responsable a Maduro por los hermanos venezolanos ca\xc3\xaddos al d\xc3\xada de hoy? https://t.co/LB89LHPpus'
102	900437381769199616	2017	b'En el Siglo XXI, los fen\xc3\xb3menos sociales y pol\xc3\xadticos est\xc3\xa1n a la orden del d\xc3\xada https://t.co/HKe4ikvKpJ #PensandoElSigloXXI en la @UAutonoma'
103	900324778770403328	2017	b'@POTUS, Ave oh Cesar Trump.Those US soldiers who are going to die in Afghanistan, Salute You! Watch Out America, danger ahead!!'
104	900119383095246849	2017	b'\xc2\xbf18 a\xc3\xb1os no te parecen una eternidad, @lopezobrador_? Candidato que vive de presupuestos aprobados y de enga\xc3\xb1ar al\xe2\x80\xa6 https://t.co/ATq4yQM5OU'
105	900001665264357378	2017	b'.lopezobrador_  me suena a dictador: quien no est\xc3\xa1 contigo est\xc3\xa1 contra ti \xc2\xbfTambi\xc3\xa9n tienes un pajarito que te habla? https://t.co/juaEFhn7Pu'
106	899841109752397827	2017	b'@POTUS Ave Cesar Trump. Those US soldiers, who are going to die in Afghanistan Salute You. Watch out America, danger ahead!!'
107	899833359261511681	2017	b'@POTUS greetings from @VicenteFoxQue: to Afghan warrior Trump. Again blaming others to justify mistakes &amp; sending troops. Watch out America!'
108	899357130242838528	2017	"b'.@lopezobrador_ \xc2\xbfA qui\xc3\xa9n quieres enga\xc3\xb1ar? El de las ma\xc3\xb1as es otro \xc2\xbfC\xc3\xb3mo has logrado estar en ""campa\xc3\xb1a"" por m\xc3\xa1s de 10 a\xc3\xb1os? No mereces M\xc3\xa9xico'"
